Designator,Footprint,Quantity,Value,LCSC Part #
C10,C_0805_2012Metric,1,1nF/25V,
"C11, C12, C13, C14, C20, C24, C25, C4, C8",C_0805_2012Metric,9,100nF,
C15,CP_Elec_10x10.5,1,1000uF/25V,
C16,C_0805_2012Metric,1,1nF,
"C18, C19",CP_Elec_6.3x7.7,2,100uF/25V,
C21,C_0805_2012Metric,1,1uF / 25V,
"C22, C23",C_0805_2012Metric,2,4.7uF,
C3,C_0805_2012Metric,1,1uF/16V,
C5,CP_Elec_8x10.5,1,100uF/75V,
"C6, C7",C_0805_2012Metric,2,10uF / 25V,
C9,C_0805_2012Metric,1,10uF,
D1,D_SMB-SMC_Universal_Handsoldering,1,VS-30BQ060HM3/9AT,
"D10, D11, D12, D13, D14, D2",SOT-23,6,BAR43SFILM,
D15,D_SMA-SMB_Universal_Handsoldering,1,VSSAF522-M3/H,
D16,D_SOD-128,1,3.9V / 1W,
D3,LED_0805_2012Metric,1,PWR,
"D4, D5, D6, D7, D8",D_SOD-323,5,1N4148WS,
D9,SOT-23,1,BAV99,
"H1, H2",MountingHole_3.2mm_M3,2,MountingHole,
"J1, J2","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",2,485_1,
J3,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,PT1000,
J4,JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal,1,H/T Sensor,
J5,PinSocket_2x03_P2.54mm_Vertical,1,PRG,
J6,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",1,PWR,
"JP1, JP3",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,TERMINATOR,
L1,MSS1210-104KED,1,MSS1210-104KED -100uH,
"Q1, Q2, Q3, Q4",SOT-23,4,BC817,
"Q10, Q5, Q6, Q7, Q8, Q9",SOT-23,6,Si2302CDS,
"R1, R11, R14, R19, R24, R26, R27, R30, R5, R7, R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,11,10K,
R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,100R,
R12,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,560R 1%,
"R13, R15, R18, R25",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4,10K 1%,
"R16, R21, R23, R31, R38, R39, R40, R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,8,10R,
R17,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,33K 1%,
"R2, R3",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,1K 1%,
"R20, R28, R29",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3,0R,
"R22, R47",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,120R,
"R32, R33, R34, R35, R36, R37, R41, R42, R43, R44, R45, R46",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,12,4K7,
R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,5K6 1%,
R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,1K,
RV1,Potentiometer_Bourns_3296Y_Vertical,1,10K 1% 20g -3296Y-1-103LF,
SW1,PinHeader_1x03_P2.54mm_Vertical,1,485_PWR_1,
SW2,PinHeader_1x03_P2.54mm_Vertical,1,485_PWR_2,
U1,TO-252-3_TabPin2,1,L7805,
U2,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,TL082,
U3,TO-252-3_TabPin2,1,LD1086DT33TR,
U4,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1U-N16R8,
U5,TO-263-5_TabPin3,1,LM2576S-12/NOPB,
U7,SOT-23,1,TL431DBZ,
"U8, U9",SOIC-8_3.9x4.9mm_P1.27mm,2,MAX485,
